class_name,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,calcium_mg,iron_mg,vitamin_c_mg
apple_pie,360.5313801954288,8.448368289511425,51.01361675267777,16.04208587868602,1.8564759064282577,80.56433500165811,1.737752244686075,3.4859359741008538
baby_back_ribs,300.05039597298986,11.653377370461149,28.921126874768152,18.03296931444841,1.9818910723353031,79.00936585634116,1.8583843802388509,4.800256297983251
baklava,359.2286322453035,8.448368289511425,28.921126874768152,15.92283260404274,1.8564759064282577,89.82614104111661,1.799674831602202,3.4859359741008538
beef_carpaccio,301.7341705113248,11.653377370461149,27.987209803160567,17.759368109909023,1.982884843868884,78.56190718662586,1.8583843802388509,4.939264783892008
beef_tartare,304.03231709027176,11.653377370461149,28.921126874768152,18.151465632167216,1.9940646907192336,80.68512275302866,1.8583843802388509,5.284608870499544
beet_salad,184.9355374767775,9.7358962953177,24.983216023812336,9.82425004681746,2.115581452707587,78.0967797821437,1.782989295518366,6.091555792958139
beignets,366.1166639945323,8.448368289511425,52.257298162237824,16.215492003020817,1.8564759064282577,91.17903790621573,1.737752244686075,4.903376313800051
bibimbap,235.92552382253157,9.65024669486757,28.892088760714305,9.915104292208149,2.063587836508028,80.57106758804024,1.7852361969653556,4.903376313800051
bread_pudding,356.85483670152206,8.448368289511425,28.921126874768152,16.03668127784029,1.8564759064282577,88.47573575010713,1.737752244686075,3.4859359741008538
breakfast_burrito,247.0709609172021,9.989117681055411,28.921126874768152,10.321189180455386,1.9938057055424951,78.62829264088928,1.783237530924083,4.790141199707989
bruschetta,177.18777047200803,10.157544655678349,24.786397387734933,9.999776574093673,2.115581452707587,78.8649943659361,1.7968993574938497,6.091555792958139
caesar_salad,180.8427658704556,9.92548411795796,24.865089438756826,10.002572150577883,2.115581452707587,79.33122846442112,1.810577917707378,6.091555792958139
cannoli,258.45280188728594,8.448368289511425,51.87503098903181,15.98330605305138,1.8564759064282577,90.5159831859348,1.737752244686075,3.4859359741008538
caprese_salad,183.7846950493214,9.989117681055411,25.90761155913304,10.321189180455386,2.115581452707587,102.11542574279352,1.791107317772872,6.091555792958139
carrot_cake,359.9316560392677,8.448368289511425,51.495593526762704,16.089958958331156,1.9938057055424951,89.82606583725708,1.737752244686075,3.4859359741008538
ceviche,244.97488021613063,10.11804006007986,27.451895331794937,10.321189180455386,1.9710533817084424,80.56433500165811,1.802924927940872,4.926679031497068
cheesecake,355.1651867737488,9.026212954957836,52.798263226201016,16.030891488167622,1.8564759064282577,102.11542574279352,1.8583843802388509,3.4859359741008538
cheese_plate,237.30310583489617,9.802796797902452,28.162679126830376,10.408807788525484,2.033445634724066,102.11542574279352,1.795046676353082,5.420867261664277
chicken_curry,298.6341978560581,11.653377370461149,28.26178118287869,18.065516478073995,2.0041760190750573,77.2826402536433,1.8583843802388509,4.386595617431482
chicken_quesadilla,303.229788892887,11.653377370461149,28.132347222435428,17.780246526298843,1.924521700963593,79.81340135103675,1.8583843802388509,5.084211149457707
chicken_wings,304.16736256453413,11.653377370461149,28.06540809271159,17.940526819850156,1.9914031242695305,80.41426357583208,1.8583843802388509,4.978979886752441
chocolate_cake,258.45280188728594,8.448368289511425,52.15266352434931,16.097651476379625,1.8564759064282577,93.4903983605533,1.799674831602202,3.4859359741008538
chocolate_mousse,359.3163068719972,8.448368289511425,52.0512137792469,16.125543089419004,1.8564759064282577,89.51352287070178,1.737752244686075,4.903376313800051
churros,359.84974789630223,8.448368289511425,52.17138017762117,15.749340125736095,1.8564759064282577,87.83516643199103,1.737752244686075,3.4859359741008538
clam_chowder,238.749887970518,10.451498965105,27.30092618093905,9.91538987658752,1.9879836347610935,77.94185431614699,1.7965854285113598,4.92841572497064
club_sandwich,257.38842198178463,9.989117681055411,38.7599578911053,9.949213988676478,2.0144301756413485,79.04958894446833,1.8190390311473128,5.014267763399407
crab_cakes,358.8699755909345,11.653377370461149,51.4303615974424,16.293653834005426,1.8564759064282577,92.09078714588654,1.799674831602202,3.4859359741008538
creme_brulee,353.8689368513496,8.448368289511425,51.89990965361505,16.118733346597672,1.8564759064282577,91.64492239092496,1.737752244686075,3.4859359741008538
